ID,TMC,Severity,Start_Time,Distance(mi),Side,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset
A-1,201.0,3,2016-02-08 05:46:00,0.01,R,Montgomery,OH,36.9,91.0,10.0,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-2,201.0,2,2016-02-08 06:07:59,0.01,L,Franklin,OH,37.9,100.0,10.0,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-3,201.0,2,2016-02-08 06:49:27,0.01,R,Clermont,OH,36.0,100.0,10.0,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night
A-4,201.0,3,2016-02-08 07:23:34,0.01,R,Montgomery,OH,35.1,96.0,9.0,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-5,201.0,2,2016-02-08 07:39:07,0.01,R,Montgomery,OH,36.0,89.0,6.0,3.5,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-6,201.0,3,2016-02-08 07:44:26,0.01,R,Franklin,OH,37.9,97.0,7.0,3.5,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-7,201.0,2,2016-02-08 07:59:35,0.0,R,Montgomery,OH,34.0,100.0,7.0,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-8,201.0,3,2016-02-08 07:59:58,0.01,R,Montgomery,OH,34.0,100.0,7.0,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-9,201.0,2,2016-02-08 08:00:40,0.0,L,Montgomery,OH,33.3,99.0,5.0,1.2,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-10,201.0,3,2016-02-08 08:10:04,0.01,R,Franklin,OH,37.4,100.0,3.0,4.6,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-11,201.0,3,2016-02-08 08:14:42,0.01,R,Franklin,OH,35.6,93.0,5.0,5.8,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-12,241.0,3,2016-02-08 08:21:27,0.01,R,Franklin,OH,37.4,100.0,3.0,4.6,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day
A-13,201.0,2,2016-02-08 08:36:34,0.0,R,Montgomery,OH,33.8,100.0,3.0,2.3,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-14,201.0,2,2016-02-08 08:37:07,0.01,L,Montgomery,OH,36.0,89.0,10.0,5.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-15,201.0,2,2016-02-08 08:39:43,0.01,L,Franklin,OH,37.4,100.0,3.0,4.6,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-16,201.0,2,2016-02-08 08:43:20,0.01,R,Montgomery,OH,33.8,100.0,3.0,2.3,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-17,201.0,2,2016-02-08 08:53:17,0.01,R,Montgomery,OH,35.6,99.0,7.0,2.3,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-18,201.0,2,2016-02-08 09:24:37,0.0,R,Montgomery,OH,36.0,89.0,10.0,5.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-19,201.0,2,2016-02-08 09:25:17,0.01,L,Montgomery,OH,37.4,93.0,10.0,6.9,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day
A-20,201.0,2,2016-02-08 09:35:35,0.01,R,Montgomery,OH,36.0,89.0,10.0,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-21,201.0,2,2016-02-08 10:11:15,0.0,R,Franklin,OH,33.8,100.0,2.0,4.6,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-22,201.0,2,2016-02-08 10:24:27,0.0,R,Montgomery,OH,36.0,89.0,10.0,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-23,201.0,2,2016-02-08 11:53:19,0.01,R,Montgomery,OH,35.1,89.0,6.0,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-24,201.0,3,2016-02-08 12:00:00,0.01,R,Franklin,OH,37.0,96.0,8.0,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-25,201.0,2,2016-02-08 12:16:44,0.01,R,Montgomery,OH,37.9,76.0,10.0,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-26,201.0,2,2016-02-08 12:41:08,1.32,L,Licking,OH,37.9,100.0,5.0,4.6,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-27,201.0,2,2016-02-08 12:52:05,0.0,R,Montgomery,OH,36.0,86.0,7.0,9.2,Light Snow,True,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-28,201.0,2,2016-02-08 14:24:48,0.0,R,Montgomery,OH,39.9,70.0,10.0,11.5,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-29,201.0,2,2016-02-08 14:56:57,0.01,R,Montgomery,OH,39.9,65.0,10.0,8.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-30,201.0,2,2016-02-08 15:26:14,0.0,R,Montgomery,OH,39.2,75.0,10.0,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-31,201.0,2,2016-02-08 16:16:08,0.01,R,Franklin,OH,37.0,89.0,10.0,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-32,201.0,2,2016-02-08 17:39:24,0.0,L,Montgomery,OH,34.2,97.0,10.0,3.5,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-33,201.0,3,2016-02-08 18:24:00,0.01,R,Franklin,OH,33.8,100.0,6.0,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-34,201.0,3,2016-02-08 19:28:00,0.01,R,Franklin,OH,34.0,100.0,6.0,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-35,201.0,2,2016-02-08 20:22:38,0.01,R,Franklin,OH,33.1,92.0,7.0,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-36,201.0,2,2016-02-08 20:43:00,1.09,R,Franklin,OH,33.1,92.0,9.0,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-37,201.0,2,2016-02-09 04:28:48,0.01,L,Montgomery,OH,23.0,93.0,5.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-38,201.0,2,2016-02-09 05:04:34,0.01,R,Fairfield,OH,23.0,93.0,2.5,11.5,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night
A-39,201.0,2,2016-02-09 05:17:08,0.01,R,Montgomery,OH,22.8,89.0,4.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-40,201.0,3,2016-02-09 05:27:20,0.01,R,Franklin,OH,26.6,86.0,1.5,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-41,201.0,2,2016-02-09 05:40:57,0.0,R,Warren,OH,21.0,85.0,0.8,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-42,201.0,2,2016-02-09 05:47:16,0.01,R,Montgomery,OH,23.0,86.0,3.0,10.4,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Night
A-43,201.0,2,2016-02-09 05:56:10,0.01,R,Clinton,OH,19.9,89.0,1.8,13.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-44,201.0,3,2016-02-09 06:06:45,0.01,R,Franklin,OH,25.0,88.0,1.0,9.2,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night
A-45,201.0,3,2016-02-09 06:13:33,0.01,R,Montgomery,OH,23.0,88.0,2.0,15.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night
A-46,201.0,3,2016-02-09 06:12:49,0.01,R,Franklin,OH,25.0,88.0,1.0,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-47,201.0,2,2016-02-09 06:21:50,0.01,R,Franklin,OH,26.1,84.0,2.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-48,201.0,3,2016-02-09 06:20:46,0.01,R,Franklin,OH,24.8,86.0,1.0,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-49,201.0,2,2016-02-09 06:34:41,0.01,R,Montgomery,OH,23.0,86.0,4.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night
A-50,201.0,3,2016-02-09 06:41:09,0.01,R,Montgomery,OH,23.0,86.0,4.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-51,201.0,2,2016-02-09 06:48:18,0.01,L,Montgomery,OH,21.9,92.0,2.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-52,201.0,2,2016-02-09 06:53:09,0.01,R,Montgomery,OH,21.9,92.0,2.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-53,201.0,3,2016-02-09 06:54:31,0.01,R,Montgomery,OH,21.9,92.0,2.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-54,201.0,3,2016-02-09 07:03:20,0.01,R,Franklin,OH,21.2,93.0,1.5,13.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-55,201.0,3,2016-02-09 07:05:37,0.01,R,Montgomery,OH,21.0,85.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-56,201.0,2,2016-02-09 07:04:58,0.01,R,Clermont,OH,21.0,93.0,2.5,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-57,201.0,2,2016-02-09 07:15:41,0.01,L,Montgomery,OH,21.9,92.0,2.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night
A-58,201.0,2,2016-02-09 07:41:01,0.01,R,Montgomery,OH,22.5,90.0,1.2,9.2,Light Snow,True,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-59,201.0,2,2016-02-09 07:42:43,0.01,R,Montgomery,OH,22.5,90.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-60,201.0,2,2016-02-09 07:42:11,0.01,R,Montgomery,OH,22.5,90.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-61,201.0,3,2016-02-09 07:46:41,0.01,R,Franklin,OH,24.8,86.0,1.8,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-62,201.0,2,2016-02-09 07:54:44,0.0,R,Montgomery,OH,21.2,93.0,2.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-63,201.0,2,2016-02-09 08:06:39,0.01,R,Warren,OH,21.0,81.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-64,201.0,2,2016-02-09 08:12:44,0.01,R,Warren,OH,21.0,81.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-65,201.0,2,2016-02-09 08:10:20,0.0,R,Fairfield,OH,21.9,85.0,0.8,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-66,201.0,3,2016-02-09 08:23:36,0.01,R,Montgomery,OH,21.0,81.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-67,201.0,3,2016-02-09 08:24:29,0.01,R,Warren,OH,21.0,81.0,1.2,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-68,201.0,3,2016-02-09 08:20:30,0.01,R,Cuyahoga,OH,32.0,82.0,10.0,12.7,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-69,201.0,3,2016-02-09 08:35:53,0.01,R,Cuyahoga,OH,32.0,82.0,10.0,12.7,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-70,241.0,3,2016-02-09 10:06:46,0.01,R,Franklin,OH,21.2,93.0,5.0,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-71,241.0,2,2016-02-09 11:09:37,0.01,L,Hancock,OH,27.0,81.0,2.5,19.6,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Day
A-72,201.0,2,2016-02-10 06:18:16,0.0,R,Clermont,OH,16.2,81.0,5.0,9.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-73,241.0,3,2016-02-10 06:06:00,0.01,L,Franklin,OH,15.8,73.0,4.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-74,201.0,2,2016-02-10 06:24:29,0.0,R,Franklin,OH,15.8,73.0,4.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-75,201.0,2,2016-02-10 06:53:02,0.01,R,Greene,OH,15.4,82.0,7.0,13.8,Light Snow,False,False,True,False,False,False,True,False,False,False,False,False,False,Night
A-76,201.0,3,2016-02-10 07:50:52,0.01,R,Miami,OH,14.0,93.0,7.0,15.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-77,201.0,3,2016-02-10 07:50:08,0.01,R,Franklin,OH,15.1,77.0,1.0,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-78,247.0,2,2016-02-10 08:01:30,0.01,R,Clermont,OH,15.8,88.0,1.8,6.9,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-79,201.0,2,2016-02-10 08:08:36,0.0,L,Franklin,OH,16.0,81.0,1.5,13.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-80,201.0,2,2016-02-10 08:11:22,0.0,L,Clermont,OH,15.8,84.0,4.0,11.5,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-81,201.0,2,2016-02-10 08:50:54,0.01,R,Franklin,OH,16.0,77.0,1.0,9.2,Light Snow,False,False,False,False,False,False,False,False,True,False,False,False,False,Day
A-82,201.0,3,2016-02-10 09:03:53,0.01,R,Delaware,OH,17.6,79.0,3.0,11.5,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-83,201.0,3,2016-02-10 09:42:04,0.01,R,Franklin,OH,15.8,79.0,1.5,10.4,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-84,241.0,3,2016-02-10 10:38:58,0.01,R,Franklin,OH,17.1,77.0,1.5,13.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-85,201.0,3,2016-02-10 17:10:00,0.01,R,Summit,OH,19.9,81.0,1.0,10.4,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Day
A-86,201.0,3,2016-02-10 18:09:00,1.28,L,Summit,OH,19.9,78.0,4.0,12.7,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-87,201.0,3,2016-02-10 18:41:44,0.01,R,Richland,OH,16.0,77.0,7.0,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-88,201.0,3,2016-02-11 05:32:29,0.01,R,Cuyahoga,OH,14.0,56.0,9.0,11.5,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night
A-89,201.0,3,2016-02-11 05:30:51,0.01,L,Summit,OH,14.0,74.0,4.0,10.4,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-90,201.0,2,2016-02-11 06:10:07,0.01,R,Montgomery,OH,7.0,87.0,10.0,8.1,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-91,201.0,2,2016-02-11 06:20:28,0.01,L,Clermont,OH,15.4,70.0,10.0,,Overcast,False,False,False,False,False,False,False,False,False,True,False,False,False,Night
A-92,201.0,3,2016-02-11 06:29:00,0.01,R,Cuyahoga,OH,17.1,59.0,10.0,21.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-93,201.0,2,2016-02-11 07:17:58,0.01,R,Franklin,OH,6.1,83.0,10.0,8.1,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night
A-94,201.0,2,2016-02-11 07:18:39,0.01,R,Franklin,OH,5.0,81.0,10.0,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-95,201.0,3,2016-02-11 07:21:55,0.01,R,Summit,OH,12.0,80.0,2.0,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-96,201.0,2,2016-02-11 07:28:16,0.01,L,Licking,OH,7.0,77.0,10.0,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-97,201.0,3,2016-02-11 07:29:06,0.01,R,Cuyahoga,OH,15.1,51.0,10.0,18.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-98,201.0,2,2016-02-11 07:53:55,0.0,R,Montgomery,OH,9.0,77.0,9.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-99,201.0,2,2016-02-11 08:07:02,0.01,R,Montgomery,OH,7.5,87.0,10.0,4.6,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
